,chi2_global,contagion_type,graph_type,message_file,pearson_avg,sim_runs_1,sim_runs_2
92,0.0,cognitive,barabasi-albert,50-50,0.8834558945567995,50.0,100.0
93,0.0,cognitive,mag,50-50,0.9944706503919127,10.0,50.0
94,0.0,cognitive,mag,50-50,0.9924481974222173,10.0,100.0
95,0.0,cognitive,mag,50-50,0.9968869699720946,50.0,100.0
96,0.0,cognitive,erdos-renyi,gradual,0.9999825582544569,10.0,50.0
97,0.0,cognitive,erdos-renyi,gradual,0.9999903866851989,10.0,100.0
98,0.0,cognitive,erdos-renyi,gradual,0.9999926264067758,50.0,100.0
99,0.0,cognitive,watts-strogatz,gradual,0.9999854920875323,10.0,50.0
100,0.0,cognitive,watts-strogatz,gradual,0.9999806152227503,10.0,100.0
101,0.0,cognitive,watts-strogatz,gradual,0.9999885204150069,50.0,100.0
102,0.0,cognitive,barabasi-albert,gradual,0.9999807665240211,10.0,50.0
103,0.0,cognitive,barabasi-albert,gradual,0.9999751569803673,10.0,100.0
104,0.0,cognitive,barabasi-albert,gradual,0.9999849618350038,50.0,100.0
105,0.0,cognitive,mag,gradual,0.9999869735303728,10.0,50.0
106,0.0,cognitive,mag,gradual,0.9999881600410603,10.0,100.0
107,0.0,cognitive,mag,gradual,0.9999970146694215,50.0,100.0
